error_rate,rate_value,seed,generation,ancestor_agreement
low,0.02,11,1,1
low,0.02,11,5,0.958
low,0.02,11,10,0.792
low,0.02,11,20,0.5
low,0.02,11,40,0.333
low,0.02,23,1,0.958
low,0.02,23,5,0.833
low,0.02,23,10,0.667
low,0.02,23,20,0.417
low,0.02,23,40,0.333
low,0.02,47,1,1
low,0.02,47,5,0.833
low,0.02,47,10,0.833
low,0.02,47,20,0.667
low,0.02,47,40,0.625
medium,0.08,11,1,1
medium,0.08,11,5,0.708
medium,0.08,11,10,0.667
medium,0.08,11,20,0.333
medium,0.08,11,40,0.458
medium,0.08,23,1,0.875
medium,0.08,23,5,0.583
medium,0.08,23,10,0.458
medium,0.08,23,20,0.292
medium,0.08,23,40,0.208
medium,0.08,47,1,0.917
medium,0.08,47,5,0.5
medium,0.08,47,10,0.375
medium,0.08,47,20,0.25
medium,0.08,47,40,0.292
high,0.2,11,1,0.875
high,0.2,11,5,0.542
high,0.2,11,10,0.333
high,0.2,11,20,0.25
high,0.2,11,40,0.125
high,0.2,23,1,0.75
high,0.2,23,5,0.458
high,0.2,23,10,0.417
high,0.2,23,20,0.333
high,0.2,23,40,0.125
high,0.2,47,1,0.792
high,0.2,47,5,0.333
high,0.2,47,10,0.292
high,0.2,47,20,0.292
high,0.2,47,40,0.333
