condition,seed,round,category,count
baseline,11,0,A,74
baseline,11,0,B,66
baseline,11,0,C,26
baseline,11,0,D,21
baseline,11,0,E,6
baseline,11,0,F,7
baseline,11,1,A,90
baseline,11,1,B,48
baseline,11,1,C,28
baseline,11,1,D,14
baseline,11,1,E,16
baseline,11,1,F,4
baseline,11,2,A,100
baseline,11,2,B,44
baseline,11,2,C,23
baseline,11,2,D,19
baseline,11,2,E,12
baseline,11,2,F,2
baseline,11,3,A,78
baseline,11,3,B,52
baseline,11,3,C,37
baseline,11,3,D,11
baseline,11,3,E,15
baseline,11,3,F,7
baseline,11,4,A,69
baseline,11,4,B,52
baseline,11,4,C,27
baseline,11,4,D,30
baseline,11,4,E,13
baseline,11,4,F,9
baseline,11,5,A,81
baseline,11,5,B,49
baseline,11,5,C,24
baseline,11,5,D,19
baseline,11,5,E,20
baseline,11,5,F,7
baseline,23,0,A,82
baseline,23,0,B,45
baseline,23,0,C,32
baseline,23,0,D,22
baseline,23,0,E,13
baseline,23,0,F,6
baseline,23,1,A,85
baseline,23,1,B,56
baseline,23,1,C,24
baseline,23,1,D,17
baseline,23,1,E,13
baseline,23,1,F,5
baseline,23,2,A,81
baseline,23,2,B,50
baseline,23,2,C,23
baseline,23,2,D,17
baseline,23,2,E,22
baseline,23,2,F,7
baseline,23,3,A,75
baseline,23,3,B,49
baseline,23,3,C,23
baseline,23,3,D,29
baseline,23,3,E,14
baseline,23,3,F,10
baseline,23,4,A,73
baseline,23,4,B,56
baseline,23,4,C,24
baseline,23,4,D,23
baseline,23,4,E,19
baseline,23,4,F,5
baseline,23,5,A,71
baseline,23,5,B,45
baseline,23,5,C,35
baseline,23,5,D,27
baseline,23,5,E,13
baseline,23,5,F,9
baseline,47,0,A,87
baseline,47,0,B,48
baseline,47,0,C,32
baseline,47,0,D,15
baseline,47,0,E,12
baseline,47,0,F,6
baseline,47,1,A,88
baseline,47,1,B,44
baseline,47,1,C,31
baseline,47,1,D,19
baseline,47,1,E,14
baseline,47,1,F,4
baseline,47,2,A,86
baseline,47,2,B,53
baseline,47,2,C,30
baseline,47,2,D,15
baseline,47,2,E,13
baseline,47,2,F,3
baseline,47,3,A,89
baseline,47,3,B,41
baseline,47,3,C,34
baseline,47,3,D,14
baseline,47,3,E,17
baseline,47,3,F,5
baseline,47,4,A,87
baseline,47,4,B,45
baseline,47,4,C,34
baseline,47,4,D,11
baseline,47,4,E,16
baseline,47,4,F,7
baseline,47,5,A,68
baseline,47,5,B,62
baseline,47,5,C,37
baseline,47,5,D,17
baseline,47,5,E,9
baseline,47,5,F,7
full-recursive,11,0,A,74
full-recursive,11,0,B,66
full-recursive,11,0,C,26
full-recursive,11,0,D,21
full-recursive,11,0,E,6
full-recursive,11,0,F,7
full-recursive,11,1,A,77
full-recursive,11,1,B,68
full-recursive,11,1,C,23
full-recursive,11,1,D,20
full-recursive,11,1,E,5
full-recursive,11,1,F,7
full-recursive,11,2,A,94
full-recursive,11,2,B,64
full-recursive,11,2,C,15
full-recursive,11,2,D,18
full-recursive,11,2,E,5
full-recursive,11,2,F,4
full-recursive,11,3,A,91
full-recursive,11,3,B,76
full-recursive,11,3,C,7
full-recursive,11,3,D,16
full-recursive,11,3,E,5
full-recursive,11,3,F,5
full-recursive,11,4,A,84
full-recursive,11,4,B,76
full-recursive,11,4,C,15
full-recursive,11,4,D,15
full-recursive,11,4,E,1
full-recursive,11,4,F,9
full-recursive,11,5,A,85
full-recursive,11,5,B,69
full-recursive,11,5,C,14
full-recursive,11,5,D,18
full-recursive,11,5,E,3
full-recursive,11,5,F,11
full-recursive,23,0,A,82
full-recursive,23,0,B,45
full-recursive,23,0,C,32
full-recursive,23,0,D,22
full-recursive,23,0,E,13
full-recursive,23,0,F,6
full-recursive,23,1,A,88
full-recursive,23,1,B,51
full-recursive,23,1,C,25
full-recursive,23,1,D,19
full-recursive,23,1,E,12
full-recursive,23,1,F,5
full-recursive,23,2,A,92
full-recursive,23,2,B,51
full-recursive,23,2,C,12
full-recursive,23,2,D,18
full-recursive,23,2,E,22
full-recursive,23,2,F,5
full-recursive,23,3,A,88
full-recursive,23,3,B,44
full-recursive,23,3,C,13
full-recursive,23,3,D,24
full-recursive,23,3,E,22
full-recursive,23,3,F,9
full-recursive,23,4,A,82
full-recursive,23,4,B,49
full-recursive,23,4,C,10
full-recursive,23,4,D,24
full-recursive,23,4,E,26
full-recursive,23,4,F,9
full-recursive,23,5,A,71
full-recursive,23,5,B,45
full-recursive,23,5,C,16
full-recursive,23,5,D,28
full-recursive,23,5,E,28
full-recursive,23,5,F,12
full-recursive,47,0,A,87
full-recursive,47,0,B,48
full-recursive,47,0,C,32
full-recursive,47,0,D,15
full-recursive,47,0,E,12
full-recursive,47,0,F,6
full-recursive,47,1,A,98
full-recursive,47,1,B,37
full-recursive,47,1,C,35
full-recursive,47,1,D,12
full-recursive,47,1,E,14
full-recursive,47,1,F,4
full-recursive,47,2,A,104
full-recursive,47,2,B,38
full-recursive,47,2,C,36
full-recursive,47,2,D,6
full-recursive,47,2,E,15
full-recursive,47,2,F,1
full-recursive,47,3,A,109
full-recursive,47,3,B,35
full-recursive,47,3,C,33
full-recursive,47,3,D,6
full-recursive,47,3,E,17
full-recursive,47,3,F,0
full-recursive,47,4,A,107
full-recursive,47,4,B,46
full-recursive,47,4,C,22
full-recursive,47,4,D,6
full-recursive,47,4,E,19
full-recursive,47,4,F,0
full-recursive,47,5,A,100
full-recursive,47,5,B,57
full-recursive,47,5,C,25
full-recursive,47,5,D,2
full-recursive,47,5,E,16
full-recursive,47,5,F,0
retain-original,11,0,A,74
retain-original,11,0,B,66
retain-original,11,0,C,26
retain-original,11,0,D,21
retain-original,11,0,E,6
retain-original,11,0,F,7
retain-original,11,1,A,104
retain-original,11,1,B,48
retain-original,11,1,C,20
retain-original,11,1,D,15
retain-original,11,1,E,12
retain-original,11,1,F,1
retain-original,11,2,A,84
