condition,seed,round,count_of_F
baseline,11,0,7
baseline,11,1,4
baseline,11,2,2
baseline,11,3,7
baseline,11,4,9
baseline,11,5,7
baseline,23,0,6
baseline,23,1,5
baseline,23,2,7
baseline,23,3,10
baseline,23,4,5
baseline,23,5,9
baseline,47,0,6
baseline,47,1,4
baseline,47,2,3
baseline,47,3,5
baseline,47,4,7
baseline,47,5,7
full-recursive,11,0,7
full-recursive,11,1,7
full-recursive,11,2,4
full-recursive,11,3,5
full-recursive,11,4,9
full-recursive,11,5,11
full-recursive,23,0,6
full-recursive,23,1,5
full-recursive,23,2,5
full-recursive,23,3,9
full-recursive,23,4,9
full-recursive,23,5,12
full-recursive,47,0,6
full-recursive,47,1,4
full-recursive,47,2,1
full-recursive,47,3,0
full-recursive,47,4,0
full-recursive,47,5,0
retain-original,11,0,7
retain-original,11,1,1
retain-original,11,2,7
retain-original,11,3,6
retain-original,11,4,7
retain-original,11,5,6
retain-original,23,0,6
retain-original,23,1,5
retain-original,23,2,6
retain-original,23,3,5
retain-original,23,4,5
retain-original,23,5,6
retain-original,47,0,6
retain-original,47,1,2
retain-original,47,2,4
retain-original,47,3,12
retain-original,47,4,6
retain-original,47,5,1
